r,k,deviation
0.001,8,1.14597
0.001,10,1.08893
0.001,12,1.05179
0.001,14,1.05491
0.001,16,0.907874
0.001,18,0.870088
0.001,20,0.855569
0.001,22,0.8307
0.001,24,0.707916
0.001,26,0.613701
0.001,28,0.707445
0.001,30,0.680189
0.001,32,0.616719
0.001,34,0.611244
0.001,36,0.689245
0.001,38,0.658474
0.001,40,0.582442
0.001,42,0.600953
0.001,44,0.590168
0.001,46,0.560296
0.001,48,0.587358
0.001,50,0.542137
0.001,52,0.543523
0.001,54,0.559488
0.001,56,0.573234
0.001,58,0.463369
0.001,60,0.465982
0.001,62,0.475451
0.001,64,0.477697
0.031,8,0.692951
0.031,10,0.499047
0.031,12,0.411541
0.031,14,0.349151
0.031,16,0.311931
0.031,18,0.269984
0.031,20,0.233203
0.031,22,0.19941
0.031,24,0.1886
0.031,26,0.180513
0.031,28,0.166299
0.031,30,0.166637
0.031,32,0.12351
0.031,34,0.127008
0.031,36,0.129259
0.031,38,0.106295
0.031,40,0.109303
0.031,42,0.103698
0.031,44,0.100409
0.031,46,0.0917295
0.031,48,0.0884414
0.031,50,0.081633
0.031,52,0.0704114
0.031,54,0.0752449
0.031,56,0.0684601
0.031,58,0.0722301
0.031,60,0.0605834
0.031,62,0.0691168
0.031,64,0.0641025
0.061,8,0.796802
0.061,10,0.609115
0.061,12,0.498412
0.061,14,0.436576
0.061,16,0.39535
0.061,18,0.32251
0.061,20,0.275304
0.061,22,0.225263
0.061,24,0.199793
0.061,26,0.168551
0.061,28,0.143531
0.061,30,0.125703
0.061,32,0.107379
0.061,34,0.0968462
0.061,36,0.0762035
0.061,38,0.071781
0.061,40,0.0523128
0.061,42,0.0595676
0.061,44,0.04721
0.061,46,0.0392962
0.061,48,0.0390053
0.061,50,0.0360771
0.061,52,0.0302993
0.061,54,0.0339389
0.061,56,0.0310984
0.061,58,0.0275903
0.061,60,0.034244
0.061,62,0.029913
0.061,64,0.0267415
0.091,8,0.853649
0.091,10,0.652414
0.091,12,0.55322
0.091,14,0.464497
0.091,16,0.372371
0.091,18,0.30799
0.091,20,0.239922
0.091,22,0.188538
0.091,24,0.157068
0.091,26,0.11897
0.091,28,0.0818959
0.091,30,0.0627954
0.091,32,0.0504193
0.091,34,0.0393748
0.091,36,0.037571
0.091,38,0.0328036
0.091,40,0.0284944
0.091,42,0.0270739
0.091,44,0.0267047
0.091,46,0.0258835
0.091,48,0.0295844
0.091,50,0.0237138
0.091,52,0.0279753
0.091,54,0.0313032
0.091,56,0.0312643
0.091,58,0.0335205
0.091,60,0.0335896
0.091,62,0.0409679
0.091,64,0.0370351
0.121,8,0.8858
0.121,10,0.675756
0.121,12,0.551893
0.121,14,0.440073
0.121,16,0.325196
0.121,18,0.253445
0.121,20,0.164731
0.121,22,0.107006
0.121,24,0.0757678
0.121,26,0.0553648
0.121,28,0.0383919
0.121,30,0.0321957
0.121,32,0.0288505
0.121,34,0.0268915
0.121,36,0.0248104
0.121,38,0.0226541
0.121,40,0.0287443
0.121,42,0.0285633
0.121,44,0.0283704
0.121,46,0.0308775
0.121,48,0.032144
0.121,50,0.0377602
0.121,52,0.0415595
0.121,54,0.0416983
0.121,56,0.0544955
0.121,58,0.0698594
0.121,60,0.055424
0.121,62,0.0647736
0.121,64,0.362911
0.151,8,0.906305
0.151,10,0.686922
0.151,12,0.523174
0.151,14,0.390846
0.151,16,0.260396
0.151,18,0.146879
0.151,20,0.0856441
0.151,22,0.055498
0.151,24,0.0373115
0.151,26,0.0297039
0.151,28,0.0268403
0.151,30,0.0240716
0.151,32,0.0262489
0.151,34,0.0262328
0.151,36,0.0268492
0.151,38,0.0312307
0.151,40,0.035371
0.151,42,0.0362197
0.151,44,0.0413111
0.151,46,0.0519095
0.151,48,0.0563701
0.151,50,0.0741611
0.151,52,0.404556
0.151,54,0.521298
0.151,56,1.47295
0.151,58,1.90388
0.151,60,2.47296
0.151,62,3.18245
0.151,64,3.51896
0.181,8,0.92119
0.181,10,0.683361
0.181,12,0.466845
0.181,14,0.291293
0.181,16,0.151651
0.181,18,0.0729023
0.181,20,0.0489129
0.181,22,0.03168
0.181,24,0.0297897
0.181,26,0.023936
0.181,28,0.0272518
0.181,30,0.0234427
0.181,32,0.0292248
0.181,34,0.0330207
0.181,36,0.0375466
0.181,38,0.0453103
0.181,40,0.0899325
0.181,42,0.118133
0.181,44,0.162474
0.181,46,0.695004
0.181,48,1.28178
0.181,50,1.67487
0.181,52,2.34405
0.181,54,3.6375
0.181,56,3.46198
0.181,58,3.69078
0.181,60,3.86876
0.181,62,4.34918
0.181,64,4.17678
0.211,8,0.926233
0.211,10,0.645927
0.211,12,0.37741
0.211,14,0.175321
0.211,16,0.0806341
0.211,18,0.0449288
0.211,20,0.033036
0.211,22,0.0292942
0.211,24,0.0233643
0.211,26,0.0238533
0.211,28,0.0302511
0.211,30,0.0373173
0.211,32,0.0383078
0.211,34,0.0506476
0.211,36,0.127584
0.211,38,0.29141
0.211,40,0.802958
0.211,42,1.17352
0.211,44,1.90441
0.211,46,2.60165
0.211,48,2.75111
0.211,50,3.19639
0.211,52,3.30766
0.211,54,3.4885
0.211,56,3.59863
0.211,58,3.5642
0.211,60,3.70496
0.211,62,3.7048
0.211,64,3.70501
0.241,8,0.930179
0.241,10,0.583737
0.241,12,0.256998
0.241,14,0.105543
0.241,16,0.0560504
0.241,18,0.0381748
0.241,20,0.0281763
0.241,22,0.0273406
0.241,24,0.0265784
0.241,26,0.0327909
0.241,28,0.0371855
0.241,30,0.0413248
0.241,32,0.0872336
0.241,34,0.476665
0.241,36,1.01878
0.241,38,1.84953
0.241,40,2.38114
0.241,42,2.41649
0.241,44,2.63628
0.241,46,3.03257
0.241,48,3.00208
0.241,50,3.06049
0.241,52,3.11964
0.241,54,3.09115
0.241,56,3.14938
0.241,58,3.12041
0.241,60,3.14938
0.241,62,3.14938
0.241,64,3.14938
0.271,8,0.931128
0.271,10,0.508716
0.271,12,0.157719
0.271,14,0.0741928
0.271,16,0.0432109
0.271,18,0.0300757
0.271,20,0.0307934
0.271,22,0.0277076
0.271,24,0.0365152
0.271,26,0.0436851
0.271,28,0.0571319
0.271,30,0.323132
0.271,32,1.03393
0.271,34,1.40453
0.271,36,2.01412
0.271,38,2.226
0.271,40,2.43293
0.271,42,2.51634
0.271,44,2.56747
0.271,46,2.69004
0.271,48,2.66612
0.271,50,2.69004
0.271,52,2.69004
0.271,54,2.69004
0.271,56,2.69004
0.271,58,2.66772
0.271,60,2.69004
0.271,62,2.69004
0.271,64,2.69004
0.301,8,0.928041
0.301,10,0.375793
0.301,12,0.109154
0.301,14,0.0597811
0.301,16,0.0370937
0.301,18,0.0342189
0.301,20,0.030383
0.301,22,0.0323308
0.301,24,0.0410477
0.301,26,0.213615
0.301,28,0.358635
0.301,30,1.16799
0.301,32,1.76243
0.301,34,2.14754
0.301,36,2.21559
0.301,38,2.25925
0.301,40,2.30073
0.301,42,2.32226
0.301,44,2.28092
0.301,46,2.32226
0.301,48,2.32226
0.301,50,2.32226
0.301,52,2.32226
0.301,54,2.32226
0.301,56,2.32226
0.301,58,2.32226
0.301,60,2.32226
0.301,62,2.32226
0.301,64,2.32226
0.331,8,0.920556
0.331,10,0.254334
0.331,12,0.0842239
0.331,14,0.0522785
0.331,16,0.0375718
0.331,18,0.0335143
0.331,20,0.0368249
0.331,22,0.0435248
0.331,24,0.158219
0.331,26,0.741277
0.331,28,1.38016
0.331,30,1.63596
0.331,32,1.85306
0.331,34,1.93032
0.331,36,1.98606
0.331,38,2.00304
0.331,40,2.02115
0.331,42,2.02115
0.331,44,2.02115
0.331,46,2.02115
0.331,48,2.02115
0.331,50,2.02115
0.331,52,2.02115
0.331,54,2.02115
0.331,56,2.02115
0.331,58,2.02115
0.331,60,2.02115
