r,k,deviation
0.001,8,0.137471
0.001,10,0.0924346
0.001,12,0.0806949
0.001,14,0.0740273
0.001,16,0.0803379
0.001,18,0.0870695
0.001,20,0.0829729
0.001,22,0.0827053
0.001,24,0.0853138
0.001,26,0.0750052
0.001,28,0.081643
0.001,30,0.0774584
0.001,32,0.094191
0.001,34,0.0953764
0.001,36,0.0834569
0.001,38,0.089634
0.001,40,0.0705297
0.001,42,0.0761012
0.001,44,0.0915607
0.001,46,0.0698478
0.001,48,0.090622
0.001,50,0.0739079
0.001,52,0.0758011
0.001,54,0.0849511
0.001,56,0.0770843
0.001,58,0.0704997
0.001,60,0.0754623
0.001,62,0.0838122
0.001,64,0.0829748
0.031,8,0.266063
0.031,10,0.0456425
0.031,12,0.016351
0.031,14,0.0161929
0.031,16,0.0132278
0.031,18,0.0173263
0.031,20,0.0167361
0.031,22,0.0147911
0.031,24,0.01626
0.031,26,0.0173843
0.031,28,0.0154457
0.031,30,0.0182915
0.031,32,0.0164211
0.031,34,0.0172272
0.031,36,0.0175338
0.031,38,0.0184801
0.031,40,0.0179693
0.031,42,0.0176106
0.031,44,0.0178532
0.031,46,0.0182548
0.031,48,0.0182037
0.031,50,0.0194379
0.031,52,0.018398
0.031,54,0.0190044
0.031,56,0.0206929
0.031,58,0.0209215
0.031,60,0.0213623
0.031,62,0.0211142
0.031,64,0.0214499
0.061,8,0.425185
0.061,10,0.089801
0.061,12,0.0152288
0.061,14,0.0112845
0.061,16,0.0126481
0.061,18,0.0114798
0.061,20,0.0120827
0.061,22,0.0120102
0.061,24,0.0137507
0.061,26,0.014761
0.061,28,0.0139613
0.061,30,0.0133502
0.061,32,0.0146727
0.061,34,0.0141746
0.061,36,0.0143787
0.061,38,0.017153
0.061,40,0.0154638
0.061,42,0.0161862
0.061,44,0.0200481
0.061,46,0.0158401
0.061,48,0.0178422
0.061,50,0.0177115
0.061,52,0.0215863
0.061,54,0.0188166
0.061,56,0.0218369
0.061,58,0.0198433
0.061,60,0.024565
0.061,62,0.0236954
0.061,64,0.0261823
0.091,8,0.531912
0.091,10,0.130797
0.091,12,0.0215445
0.091,14,0.00988294
0.091,16,0.010615
0.091,18,0.00986213
0.091,20,0.00973438
0.091,22,0.0105224
0.091,24,0.0119836
0.091,26,0.0126829
0.091,28,0.0151501
0.091,30,0.0179939
0.091,32,0.0140913
0.091,34,0.0182185
0.091,36,0.01809
0.091,38,0.0198162
0.091,40,0.0199987
0.091,42,0.0198975
0.091,44,0.0203371
0.091,46,0.0235843
0.091,48,0.0213709
0.091,50,0.0230675
0.091,52,0.0260128
0.091,54,0.0318065
0.091,56,0.0246458
0.091,58,0.0320121
0.091,60,0.0319387
0.091,62,0.0377456
0.091,64,0.0357105
0.121,8,0.609079
0.121,10,0.170577
0.121,12,0.0235728
0.121,14,0.0104579
0.121,16,0.00959982
0.121,18,0.00912827
0.121,20,0.00968665
0.121,22,0.0119218
0.121,24,0.0122991
0.121,26,0.0131978
0.121,28,0.0132029
0.121,30,0.0158256
0.121,32,0.0162088
0.121,34,0.0199969
0.121,36,0.0212484
0.121,38,0.0216613
0.121,40,0.021347
0.121,42,0.0227604
0.121,44,0.0269232
0.121,46,0.0249492
0.121,48,0.0329929
0.121,50,0.0432266
0.121,52,0.0381765
0.121,54,0.0418151
0.121,56,0.0499203
0.121,58,0.0607641
0.121,60,0.141643
0.121,62,0.218353
0.121,64,0.225339
0.151,8,0.665914
0.151,10,0.205919
0.151,12,0.0316033
0.151,14,0.0103651
0.151,16,0.00944612
0.151,18,0.0119333
0.151,20,0.0113429
0.151,22,0.0141264
0.151,24,0.0146152
0.151,26,0.0146383
0.151,28,0.0163608
0.151,30,0.0181748
0.151,32,0.0212365
0.151,34,0.0229208
0.151,36,0.0263258
0.151,38,0.032849
0.151,40,0.0358014
0.151,42,0.0404805
0.151,44,0.0440607
0.151,46,0.0588319
0.151,48,0.0606964
0.151,50,0.0856356
0.151,52,0.180555
0.151,54,0.69269
0.151,56,1.24837
0.151,58,2.13196
0.151,60,2.23717
0.151,62,3.35225
0.151,64,3.74075
0.181,8,0.709865
0.181,10,0.246615
0.181,12,0.0420936
0.181,14,0.0116066
0.181,16,0.00980436
0.181,18,0.0103054
0.181,20,0.0143108
0.181,22,0.0159351
0.181,24,0.0160528
0.181,26,0.0185018
0.181,28,0.0212137
0.181,30,0.0232133
0.181,32,0.0303272
0.181,34,0.0297486
0.181,36,0.0368816
0.181,38,0.0400285
0.181,40,0.143657
0.181,42,0.0663817
0.181,44,0.390574
0.181,46,0.839378
0.181,48,1.22996
0.181,50,1.81054
0.181,52,2.79212
0.181,54,2.87844
0.181,56,3.50492
0.181,58,3.95053
0.181,60,4.04461
0.181,62,4.13244
0.181,64,4.30905
0.211,8,0.744733
0.211,10,0.284192
0.211,12,0.0528445
0.211,14,0.0118173
0.211,16,0.0121653
0.211,18,0.0129594
0.211,20,0.013115
0.211,22,0.0147697
0.211,24,0.0196197
0.211,26,0.0218636
0.211,28,0.029648
0.211,30,0.0307877
0.211,32,0.0384808
0.211,34,0.0552931
0.211,36,0.0668149
0.211,38,0.289544
0.211,40,0.838393
0.211,42,1.42326
0.211,44,1.83089
0.211,46,2.31066
0.211,48,2.90098
0.211,50,3.12299
0.211,52,3.27035
0.211,54,3.63194
0.211,56,3.66818
0.211,58,3.73934
0.211,60,3.70439
0.211,62,3.7048
0.211,64,3.73934
0.241,8,0.771381
0.241,10,0.321882
0.241,12,0.0679108
0.241,14,0.0145218
0.241,16,0.0112936
0.241,18,0.0147958
0.241,20,0.0149511
0.241,22,0.0200299
0.241,24,0.0244599
0.241,26,0.029122
0.241,28,0.03503
0.241,30,0.0560413
0.241,32,0.182676
0.241,34,0.431663
0.241,36,0.928327
0.241,38,1.57771
0.241,40,2.23183
0.241,42,2.35623
0.241,44,2.84876
0.241,46,2.6986
0.241,48,3.09105
0.241,50,3.06022
0.241,52,3.14938
0.241,54,3.12123
0.241,56,3.14938
0.241,58,3.12106
0.241,60,3.14938
0.241,62,3.14938
0.241,64,3.14938
0.271,8,0.793327
0.271,10,0.358256
0.271,12,0.0842066
0.271,14,0.0164234
0.271,16,0.0148671
0.271,18,0.0169998
0.271,20,0.0195966
0.271,22,0.025184
0.271,24,0.0322017
0.271,26,0.0442176
0.271,28,0.137271
0.271,30,0.354177
0.271,32,1.11006
0.271,34,1.79627
