r,k,deviation
0.001,8,0.238404
0.001,10,0.235231
0.001,12,0.200573
0.001,14,0.202118
0.001,16,0.198749
0.001,18,0.207925
0.001,20,0.228019
0.001,22,0.218666
0.001,24,0.231774
0.001,26,0.181694
0.001,28,0.196399
0.001,30,0.213616
0.001,32,0.200017
0.001,34,0.180057
0.001,36,0.195686
0.001,38,0.231365
0.001,40,0.203634
0.031,8,0.0772751
0.031,10,0.0404352
0.031,12,0.0417472
0.031,14,0.0345336
0.031,16,0.0367624
0.031,18,0.0428913
0.031,20,0.0394367
0.031,22,0.0403046
0.031,24,0.0422313
0.031,26,0.0457442
0.031,28,0.0448951
0.031,30,0.0446713
0.031,32,0.048954
0.031,34,0.0443507
0.031,36,0.0468096
0.031,38,0.0397684
0.031,40,0.044362
0.061,8,0.139732
0.061,10,0.032653
0.061,12,0.033464
0.061,14,0.0315711
0.061,16,0.0313621
0.061,18,0.0318407
0.061,20,0.032522
0.061,22,0.0353008
0.061,24,0.0321227
0.061,26,0.041589
0.061,28,0.0343715
0.061,30,0.0375792
0.061,32,0.0363528
0.061,34,0.0411281
0.061,36,0.0463501
0.061,38,0.0413749
0.061,40,0.041532
0.091,8,0.195531
0.091,10,0.0355678
0.091,12,0.0260589
0.091,14,0.0279797
0.091,16,0.0271302
0.091,18,0.0292356
0.091,20,0.0249187
0.091,22,0.0328533
0.091,24,0.0336394
0.091,26,0.0352617
0.091,28,0.0390919
0.091,30,0.0376301
0.091,32,0.0365157
0.091,34,0.0444495
0.091,36,0.0427612
0.091,38,0.0449948
0.091,40,0.0466511
0.121,8,0.239787
0.121,10,0.0389439
0.121,12,0.0267679
0.121,14,0.027113
0.121,16,0.0249289
0.121,18,0.0238568
0.121,20,0.0274052
0.121,22,0.0314687
0.121,24,0.0336168
0.121,26,0.0390519
0.121,28,0.0477527
0.121,30,0.0436062
0.121,32,0.0515942
0.121,34,0.0484835
0.121,36,0.060468
0.121,38,0.0657412
0.121,40,0.0677573
0.151,8,0.286583
0.151,10,0.0533902
0.151,12,0.0215076
0.151,14,0.0250882
0.151,16,0.02684
0.151,18,0.027037
0.151,20,0.0265252
0.151,22,0.0309013
0.151,24,0.0386874
0.151,26,0.0398894
0.151,28,0.0484356
0.151,30,0.0540009
0.151,32,0.0591756
0.151,34,0.069471
0.151,36,0.186437
0.151,38,0.140449
0.151,40,0.263794
0.181,8,0.326868
0.181,10,0.0628779
0.181,12,0.0272395
0.181,14,0.0210302
0.181,16,0.0280242
0.181,18,0.0300508
0.181,20,0.0355129
0.181,22,0.0391228
0.181,24,0.0429119
0.181,26,0.0457425
0.181,28,0.0621897
0.181,30,0.0666618
0.181,32,0.160727
0.181,34,0.355449
0.181,36,0.705084
0.181,38,1.63856
0.181,40,1.87204
0.211,8,0.367646
0.211,10,0.0725299
0.211,12,0.0243133
0.211,14,0.0291758
0.211,16,0.0305815
0.211,18,0.033498
0.211,20,0.0375502
0.211,22,0.0487266
0.211,24,0.0484235
0.211,26,0.0721979
0.211,28,0.129797
0.211,30,0.602507
0.211,32,0.772544
0.211,34,1.36374
0.211,36,2.02522
0.211,38,3.0145
0.211,40,3.16016
0.241,8,0.402263
0.241,10,0.0903443
0.241,12,0.0230706
0.241,14,0.0262703
0.241,16,0.0307924
0.241,18,0.0400419
0.241,20,0.05416
0.241,22,0.0654748
0.241,24,0.0704632
0.241,26,0.445603
0.241,28,0.695249
0.241,30,1.22026
0.241,32,1.9555
0.241,34,2.35564
0.241,36,2.69958
0.241,38,3.00159
0.241,40,2.76657
0.271,8,0.434653
0.271,10,0.112068
0.271,12,0.0279148
0.271,14,0.0274008
0.271,16,0.0319609
0.271,18,0.0406715
0.271,20,0.0565598
0.271,22,0.232801
0.271,24,0.287775
0.271,26,0.886446
0.271,28,1.4378
0.271,30,2.24708
0.271,32,2.28407
0.271,34,2.49164
0.271,36,2.46746
0.271,38,2.66662
0.271,40,2.69004
0.301,8,0.466198
0.301,10,0.13699
0.301,12,0.0263797
0.301,14,0.0320614
0.301,16,0.0474054
0.301,18,0.0473
0.301,20,0.0880426
0.301,22,0.497961
0.301,24,1.21929
0.301,26,1.53942
0.301,28,1.85818
0.301,30,2.17185
0.301,32,2.15376
0.301,34,2.30224
0.301,36,2.24154
0.301,38,2.32226
0.301,40,2.32226
0.331,8,0.496031
0.331,10,0.155896
0.331,12,0.0367864
0.331,14,0.0301809
0.331,16,0.0480483
0.331,18,0.160784
0.331,20,0.533037
0.331,22,1.02359
0.331,24,1.41738
0.331,26,1.85342
0.331,28,1.94819
0.331,30,1.94952
0.331,32,1.98658
0.331,34,2.00399
0.331,36,2.00526
0.331,38,2.02115
0.331,40,2.02115
0.361,8,0.522067
0.361,10,0.181981
0.361,12,0.0445398
0.361,14,0.0385765
0.361,16,0.0704906
0.361,18,0.306376
0.361,20,0.700155
0.361,22,1.37154
0.361,24,1.54332
0.361,26,1.6917
0.361,28,1.77008
0.361,30,1.75481
0.361,32,1.77008
0.361,34,1.77008
0.361,36,1.77008
0.361,38,1.77008
0.361,40,1.77008
