r,k,deviation
0.001,8,0.987945
0.001,10,0.895057
0.001,12,0.771853
0.001,14,0.715433
0.001,16,0.668471
0.001,18,0.571967
0.001,20,0.67995
0.001,22,0.640086
0.001,24,0.600012
0.001,26,0.649311
0.001,28,0.642487
0.001,30,0.663959
0.001,32,0.618295
0.031,8,0.159932
0.031,10,0.134925
0.031,12,0.126057
0.031,14,0.125807
0.031,16,0.105469
0.031,18,0.122282
0.031,20,0.112228
0.031,22,0.115714
0.031,24,0.112426
0.031,26,0.118242
0.031,28,0.109968
0.031,30,0.0996846
0.031,32,0.117106
0.061,8,0.107432
0.061,10,0.093159
0.061,12,0.0785157
0.061,14,0.0809613
0.061,16,0.093865
0.061,18,0.0839383
0.061,20,0.0803043
0.061,22,0.0812744
0.061,24,0.0947744
0.061,26,0.0896957
0.061,28,0.0927408
0.061,30,0.104837
0.061,32,0.104667
0.091,8,0.0888279
0.091,10,0.0715468
0.091,12,0.0659702
0.091,14,0.0563155
0.091,16,0.0588972
0.091,18,0.0682539
0.091,20,0.0760541
0.091,22,0.0811042
0.091,24,0.0814865
0.091,26,0.0957378
0.091,28,0.0875689
0.091,30,0.0818304
0.091,32,0.104819
0.121,8,0.0784793
0.121,10,0.0583974
0.121,12,0.0598457
0.121,14,0.0669148
0.121,16,0.0833597
0.121,18,0.0744702
0.121,20,0.0834096
0.121,22,0.0824531
0.121,24,0.0864085
0.121,26,0.0843237
0.121,28,0.119402
0.121,30,0.117616
0.121,32,0.124293
0.151,8,0.0784925
0.151,10,0.0537022
0.151,12,0.0607922
0.151,14,0.0640344
0.151,16,0.0639317
0.151,18,0.0753024
0.151,20,0.0775883
0.151,22,0.0773733
0.151,24,0.0847316
0.151,26,0.228742
0.151,28,0.300135
0.151,30,0.476715
0.151,32,0.7931
0.181,8,0.0797812
0.181,10,0.0618782
0.181,12,0.0661164
0.181,14,0.0722977
0.181,16,0.0655498
0.181,18,0.0778483
0.181,20,0.0826354
0.181,22,0.11569
0.181,24,0.208802
0.181,26,0.491556
0.181,28,1.09985
0.181,30,1.74319
0.181,32,2.57822
0.211,8,0.0880555
0.211,10,0.0533434
0.211,12,0.0625265
0.211,14,0.0602495
0.211,16,0.0614839
0.211,18,0.0876702
0.211,20,0.147768
0.211,22,0.188429
0.211,24,0.667365
0.211,26,1.20261
0.211,28,2.14109
0.211,30,2.43401
0.211,32,3.1278
0.241,8,0.111358
0.241,10,0.0504637
0.241,12,0.060395
0.241,14,0.0657704
0.241,16,0.0756296
0.241,18,0.114116
0.241,20,0.347815
0.241,22,0.970939
0.241,24,1.44349
0.241,26,2.11003
0.241,28,2.52328
0.241,30,2.64338
0.241,32,2.96959
0.271,8,0.1048
0.271,10,0.0520683
0.271,12,0.054281
0.271,14,0.067671
0.271,16,0.138525
0.271,18,0.354839
0.271,20,0.901844
0.271,22,1.32233
0.271,24,2.10186
0.271,26,2.35844
0.271,28,2.46812
0.271,30,2.54434
0.271,32,2.64041
0.301,8,0.129272
0.301,10,0.0517337
0.301,12,0.0622156
0.301,14,0.0754668
0.301,16,0.194554
0.301,18,0.854719
0.301,20,1.27384
0.301,22,1.83313
0.301,24,2.08517
0.301,26,2.09406
0.301,28,2.27979
0.301,30,2.30322
0.301,32,2.32226
0.331,8,0.136783
0.331,10,0.0565826
0.331,12,0.0623277
0.331,14,0.112947
0.331,16,0.846973
0.331,18,0.989248
0.331,20,1.60357
0.331,22,1.84287
0.331,24,1.87902
0.331,26,1.98641
0.331,28,1.98803
0.331,30,2.02115
0.331,32,2.02115
0.361,8,0.152772
0.361,10,0.0587036
0.361,12,0.116677
0.361,14,0.314552
0.361,16,0.895618
0.361,18,1.3561
0.361,20,1.56525
0.361,22,1.66263
0.361,24,1.75615
0.361,26,1.741
0.361,28,1.77008
0.361,30,1.77008
0.361,32,1.75644
