r,k,deviation
0.001,8,0.0
0.001,10,0.0
0.001,12,0.0
0.001,14,0.0
0.001,16,0.0
0.001,18,1.16337e-307
0.001,20,7.26412e-272
0.001,22,6.25248e-243
0.001,24,4.26128e-219
0.001,26,3.73335e-199
0.001,28,3.04025e-182
0.001,30,9.72866e-168
0.001,32,3.58193e-155
0.031,8,3.19299e-291
0.031,10,1.17102e-211
0.031,12,2.23345e-161
0.031,14,2.82667e-127
0.031,16,6.0613e-103
0.031,18,6.56252e-85
0.031,20,3.87338e-71
0.031,22,2.27842e-60
0.031,24,8.83987e-52
0.031,26,8.10982e-45
0.031,28,4.28527e-39
0.031,30,2.46757e-34
0.031,32,2.47065e-30
0.061,8,2.04636e-195
0.061,10,8.81545e-136
0.061,12,3.93855e-99
0.061,14,5.98947e-75
0.061,16,3.6577e-58
0.061,18,4.64237e-46
0.061,20,4.52672e-37
0.061,22,3.09745e-30
0.061,24,6.15542e-25
0.061,26,9.16278e-21
0.061,28,1.96167e-17
0.061,30,9.58077e-15
0.061,32,1.49036e-12
0.091,8,8.15162e-142
0.091,10,2.14177e-94
0.091,12,4.53551e-66
0.091,14,6.49903e-48
0.091,16,1.11576e-35
0.091,18,4.02258e-27
0.091,20,5.79256e-21
0.091,22,1.97749e-16
0.091,24,4.94476e-13
0.091,26,1.90202e-10
0.091,28,1.8621e-08
0.091,30,6.58921e-07
0.091,32,1.08189e-05
0.121,8,3.08096e-106
0.121,10,1.06024e-67
0.121,12,2.22437e-45
0.121,14,1.59747e-31
0.121,16,1.70902e-22
0.121,18,2.13808e-16
0.121,20,3.62941e-12
0.121,22,3.59722e-09
0.121,24,5.16804e-07
0.121,26,1.93705e-05
0.121,28,0.000280132
0.121,30,0.0020416
0.121,32,0.00903125
0.151,8,8.93684e-81
0.151,10,3.35645e-49
0.151,12,1.59449e-31
0.151,14,6.11002e-21
0.151,16,2.64932e-14
0.151,18,5.32589e-10
0.151,20,3.85459e-07
0.151,22,3.32453e-05
0.151,24,0.000709132
0.151,26,0.00593061
0.151,28,0.0262207
0.151,30,0.0747116
0.151,32,0.156799
0.181,8,8.36954e-62
0.181,10,6.6318e-36
0.181,12,6.02257e-22
0.181,14,6.33414e-14
0.181,16,4.13271e-09
0.181,18,3.93316e-06
0.181,20,0.000300442
0.181,22,0.0048647
0.181,24,0.0296922
0.181,26,0.0971157
0.181,28,0.212095
0.181,30,0.355766
0.181,32,0.501654
0.211,8,2.42321e-47
0.211,10,3.58984e-26
0.211,12,3.08222e-15
0.211,14,3.07666e-09
0.211,16,8.18259e-06
0.211,18,0.000833734
0.211,20,0.0131913
0.211,22,0.0700835
0.211,24,0.194165
0.211,26,0.362946
0.211,28,0.533716
0.211,30,0.677397
0.211,32,0.785192
0.241,8,3.53016e-36
0.241,10,5.44657e-19
0.241,12,1.58127e-10
0.241,14,4.03574e-06
0.241,16,0.000962302
0.241,18,0.0197426
0.241,20,0.107246
0.241,22,0.279308
0.241,24,0.481605
0.241,26,0.657522
0.241,28,0.785942
0.241,30,0.870683
0.241,32,0.923443
0.271,8,1.63949e-27
0.271,10,1.08746e-13
0.271,12,3.07157e-07
0.271,14,0.000452057
0.271,16,0.0181626
0.271,18,0.122087
0.271,20,0.329976
0.271,22,0.556415
0.271,24,0.733071
0.271,26,0.848201
0.271,28,0.916361
0.271,30,0.954702
0.271,32,0.975694
0.301,8,8.87523e-21
0.301,10,8.48678e-10
0.301,12,5.71318e-05
0.301,14,0.00950084
0.301,16,0.106159
0.301,18,0.337305
0.301,20,0.589568
0.301,22,0.77309
0.301,24,0.88207
0.301,26,0.940618
0.301,28,0.970567
0.301,30,0.985525
0.301,32,0.992908
0.331,8,1.45295e-15
0.331,10,5.7536e-07
0.331,12,0.00198568
0.331,14,0.0648325
0.331,16,0.297337
0.331,18,0.582763
0.331,20,0.785903
0.331,22,0.897976
0.331,24,0.953044
0.331,26,0.978729
0.331,28,0.990433
0.331,30,0.995711
0.331,32,0.99808
0.361,8,1.48816e-11
0.361,10,6.1916e-05
0.361,12,0.0210441
0.361,14,0.210663
0.361,16,0.531525
0.361,18,0.773222
0.361,20,0.900503
0.361,22,0.958168
0.361,24,0.982722
0.361,26,0.992916
0.361,28,0.997104
0.361,30,0.998818
0.361,32,0.999517
